,precision,recall,f1-score,support
tourette syndrome,1.0,0.8333333333333334,0.9090909090909091,6.0
toxic multinodular goiter,0.7619047619047619,1.0,0.8648648648648649,16.0
toxoplasmosis,0.0,0.0,0.0,2.0
tracheitis,0.717391304347826,0.868421052631579,0.7857142857142857,38.0
transient ischemic attack,0.8923076923076924,0.8854961832061069,0.8888888888888888,131.0
trichiasis,1.0,0.8333333333333334,0.9090909090909091,6.0
trichinosis,0.0,0.0,0.0,2.0
trichomonas infection,0.8333333333333334,0.8823529411764706,0.8571428571428571,68.0
trigeminal neuralgia,0.8837209302325582,0.95,0.9156626506024096,40.0
trigger finger (finger disorder),0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0
tuberculosis,1.0,0.8,0.8888888888888888,5.0
ulcerative colitis,0.8857142857142857,0.8266666666666667,0.8551724137931035,75.0
urethral disorder,0.855072463768116,0.9365079365079365,0.8939393939393939,63.0
urethral stricture,0.9259259259259259,0.8928571428571429,0.9090909090909091,56.0
urethral valves,1.0,0.7142857142857143,0.8333333333333334,7.0
urethritis,0.8863636363636364,0.8571428571428571,0.8715083798882681,91.0
urge incontinence,0.9072164948453608,0.8888888888888888,0.8979591836734694,99.0
urinary tract infection,0.6871508379888268,0.6758241758241759,0.6814404432132964,182.0
urinary tract obstruction,0.8273381294964028,0.8394160583941606,0.8333333333333334,137.0
uterine atony,0.8863636363636364,0.8863636363636364,0.8863636363636364,44.0
uterine fibroids,0.7227722772277227,0.8111111111111111,0.7643979057591623,90.0
uveitis,1.0,1.0,1.0,4.0
vaginal cyst,0.736,0.757201646090535,0.7464503042596349,243.0
vaginal yeast infection,0.8728813559322034,0.8442622950819673,0.8583333333333333,122.0
vaginismus,0.75,0.8,0.7741935483870968,15.0
vaginitis,0.8820224719101124,0.8626373626373627,0.8722222222222222,182.0
varicocele of the testicles,0.9781021897810219,0.9852941176470589,0.9816849816849816,136.0
varicose veins,0.8636363636363636,0.8260869565217391,0.8444444444444444,23.0
vasculitis,0.9516129032258065,0.9833333333333333,0.9672131147540983,60.0
venous insufficiency,0.927536231884058,0.9552238805970149,0.9411764705882353,67.0
vertebrobasilar insufficiency,0.625,1.0,0.7692307692307693,5.0
vesicoureteral reflux,0.0,0.0,0.0,2.0
viral exanthem,0.9285714285714286,0.8666666666666667,0.896551724137931,120.0
viral hepatitis,1.0,0.8571428571428571,0.9230769230769231,7.0
viral warts,0.696078431372549,0.7802197802197802,0.7357512953367875,91.0
vitamin b12 deficiency,0.8333333333333334,0.9375,0.8823529411764706,16.0
vitamin d deficiency,0.0,0.0,0.0,3.0
vitreous degeneration,0.4095238095238095,0.6323529411764706,0.49710982658959535,68.0
vitreous hemorrhage,0.0,0.0,0.0,5.0
vocal cord polyp,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
volvulus,1.0,0.5,0.6666666666666666,2.0
vulvar disorder,0.7948717948717948,0.96875,0.8732394366197183,32.0
vulvodynia,0.9098712446351931,0.8688524590163934,0.8888888888888888,244.0
white blood cell disease,0.8958333333333334,0.8514851485148515,0.8730964467005076,101.0
whooping cough,0.625,0.5555555555555556,0.5882352941176471,9.0
wilson disease,1.0,1.0,1.0,3.0
yeast infection,0.9767441860465116,0.8936170212765957,0.9333333333333333,94.0
zenker diverticulum,1.0,1.0,1.0,2.0
accuracy,0.8362574285540434,0.8362574285540434,0.8362574285540434,0.8362574285540434
macro avg,0.8099687474686504,0.8180015806163149,0.808993944660787,49303.0
weighted avg,0.8385708298727941,0.8362574285540434,0.8360983250828572,49303.0
