,precision,recall,f1-score,support
intestinal disease,0.7808219178082192,0.7402597402597403,0.76,77.0
intestinal malabsorption,0.8857142857142857,0.96875,0.9253731343283582,32.0
intestinal obstruction,0.8977272727272727,0.8876404494382022,0.8926553672316384,89.0
intracerebral hemorrhage,0.9478260869565217,0.9008264462809917,0.923728813559322,121.0
intracranial abscess,0.5,1.0,0.6666666666666666,2.0
intracranial hemorrhage,0.8028169014084507,0.890625,0.8444444444444444,64.0
iridocyclitis,0.8207547169811321,0.8787878787878788,0.848780487804878,99.0
iron deficiency anemia,0.9851851851851852,0.9708029197080292,0.9779411764705882,137.0
irritable bowel syndrome,0.9891304347826086,0.8921568627450981,0.9381443298969072,102.0
ischemia of the bowel,0.5783132530120482,0.8421052631578947,0.6857142857142857,57.0
ischemic heart disease,0.9588235294117647,0.9209039548022598,0.9394812680115274,177.0
itching of unknown cause,0.9693877551020408,0.9405940594059405,0.9547738693467337,101.0
jaw disorder,0.9558823529411765,0.9701492537313433,0.9629629629629629,67.0
joint effusion,0.9767441860465116,0.9333333333333333,0.9545454545454546,90.0
juvenile rheumatoid arthritis,1.0,0.8571428571428571,0.9230769230769231,7.0
kidney cancer,0.75,0.9375,0.8333333333333334,16.0
kidney disease due to longstanding hypertension,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
kidney failure,0.9814814814814815,0.9464285714285714,0.9636363636363636,56.0
kidney stone,0.63125,0.5580110497237569,0.592375366568915,181.0
knee ligament or meniscus tear,1.0,1.0,1.0,21.0
labyrinthitis,0.927007299270073,0.9694656488549618,0.9477611940298507,131.0
lactose intolerance,0.896551724137931,0.9629629629629629,0.9285714285714286,27.0
laryngitis,0.9545454545454546,0.9264705882352942,0.9402985074626866,136.0
lateral epicondylitis (tennis elbow),0.835820895522388,0.835820895522388,0.835820895522388,67.0
leukemia,0.0,0.0,0.0,2.0
lewy body dementia,0.65,0.8125,0.7222222222222222,16.0
lice,1.0,1.0,1.0,13.0
lichen simplex,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
lipoma,0.9777777777777777,0.9635036496350365,0.9705882352941176,137.0
liver cancer,0.6923076923076923,0.9,0.782608695652174,10.0
liver disease,0.9708333333333333,0.9628099173553719,0.966804979253112,242.0
lumbago,0.9032258064516129,0.9032258064516129,0.9032258064516129,31.0
lung cancer,0.7272727272727273,0.8,0.7619047619047619,10.0
lung contusion,0.5,0.6666666666666666,0.5714285714285714,3.0
lyme disease,0.8936170212765957,1.0,0.9438202247191011,42.0
lymphadenitis,0.9777777777777777,0.967032967032967,0.9723756906077348,91.0
